City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,magadan,-80.9898,-47.132,-24.57,85,100,4.7,GS,1693061654
293,badger,27.6878,-117.0185,19.9,88,13,7.88,MX,1693061654
294,tazovsky,-29.6919,130.6279,16.8,41,80,4.76,AU,1693061655
295,aripuana,54.7405,-71.2056,10.63,51,2,4.0,CA,1693061655
296,kingston,70.266,-117.5358,1.86,70,89,7.4,CA,1693061655
297,cromer,-80.8527,174.1308,-35.52,100,100,1.62,NZ,1693061656
298,tezu,-33.003,145.2342,13.42,58,24,3.19,AU,1693061656
299,rasskazovo,-85.0539,178.1504,-26.89,90,100,3.65,NZ,1693061656
300,mikhaylovsk,10.8105,-129.1548,27.73,74,100,7.65,MX,1693061657
301,adrar,-58.2728,114.062,-3.78,71,100,12.95,AU,1693061657
302,ananindeua,8.8766,-103.973,27.2,79,53,3.9,MX,1693061657
303,inarajan village,13.3143,51.6653,25.29,89,65,8.69,SO,1693061657
304,yumbe,-87.7009,24.1555,-31.88,99,100,3.54,ZA,1693061658
305,sos'va,39.662,7.5956,28.35,58,3,1.7,IT,1693061658
306,brookings,45.6814,-85.7076,16.18,94,100,3.09,US,1693061658
307,rio gallegos,29.192,50.367,39.05,37,0,2.06,IR,1693061659
308,mosty,-32.7027,-23.852,14.27,83,100,2.78,SH,1693061659
309,krasnokholm,17.4351,49.3503,40.12,10,28,3.31,YE,1693061659
310,viligili,-80.6192,156.5265,-22.87,98,100,1.87,NZ,1693061660
311,udachny,25.1226,-123.6816,20.49,79,24,8.04,MX,1693061660
312,kayangel,1.649,-57.9453,33.82,34,32,2.11,GY,1693061660
313,manchester,-0.1247,-1.1342,23.33,80,8,5.38,GH,1693061660
314,gornyy,-46.0865,-93.7638,6.43,79,15,13.06,CL,1693061661
315,webster city,-75.5841,-28.4691,-23.81,98,100,1.65,GS,1693061661
316,dubasari,-16.6555,23.0715,35.98,7,5,2.72,ZM,1693061661
317,walvis bay,-29.2824,15.0662,13.46,75,0,10.32,NA,1693061662
318,mata-utu,6.8075,18.0056,24.99,89,100,2.62,CF,1693061662
319,shenjiamen,-18.7864,-91.7098,19.93,75,100,8.2,PE,1693061662
320,uturoa,30.535,-149.0569,23.57,69,7,5.4,US,1693061663
321,vilyuysk,-14.8665,-119.7287,23.5,81,48,8.32,PN,1693061663
322,hadibu,60.4628,-154.3403,9.45,97,100,3.56,US,1693061663
323,dawei,-49.5166,154.7385,6.47,65,100,10.06,AU,1693061664
324,labytnangi,28.0785,-39.5813,26.64,76,27,3.11,PT,1693061664
325,kavaratti,-46.1945,-136.8849,9.07,94,100,9.87,PN,1693061664
326,motygino,-62.1393,-55.9268,-6.22,76,100,8.26,FK,1693061665
